iter	RMSE
268	118.8661183
269	118.8022317
270	118.7455909
271	118.667744
272	118.6052436
273	118.5262733
274	118.4999361
275	118.4554819
276	118.416683
277	118.3754846
278	118.329866
279	118.300368
280	118.253165
281	118.1690807
282	118.0908593
283	118.0482982
284	117.9735673
285	117.8832152
286	117.8386828
287	117.788101
288	117.6999184
289	117.6651216
290	117.5667163
291	117.4723923
292	117.4185192
293	117.3741242
294	117.3181676
295	117.2908037
296	117.2625778
297	117.2333156
298	117.1646655
299	117.0792302
300	117.0221072
301	116.9429916
302	116.8158539
303	116.7324226
304	116.6946966
305	116.6545687
306	116.6366373
307	116.6225168
308	116.58276
309	116.5567024
310	116.5203904
311	116.4871598
312	116.3532338
313	116.2589127
314	116.2342163
315	116.1592689
316	116.1357059
317	116.0564839
318	116.0029645
319	115.9642427
320	115.8939805
321	115.8318038
322	115.7742338
323	115.7370639
324	115.6980096
325	115.6547146
326	115.6274079
327	115.6026586
328	115.5776874
329	115.5304793
330	115.4746483
331	115.4115658
332	115.3481159
333	115.2877555
334	115.2018857
335	115.1613074
336	115.1173078
337	115.0798842
338	114.9894597
339	114.8837215
340	114.8654766
341	114.7732789
342	114.6779446
343	114.6168105
344	114.5265158
345	114.493025
346	114.4401219
347	114.4003245
348	114.3301464
349	114.2660499
350	114.2299373
351	114.200548
352	114.1657257
353	114.0807423
354	114.0597003
355	114.0198464
356	113.9975037
357	113.9438346
358	113.9172865
359	113.8645265
360	113.8259539
361	113.7667238
362	113.7208155
363	113.6666563
364	113.5722357
365	113.5337949
366	113.470107
367	113.4171894
368	113.3901975
369	113.3664509
370	113.2863489
371	113.2524533
372	113.2227546
373	113.1798024
374	113.169771
375	113.1281645
376	113.1138057
377	113.0452303
378	113.0043034
379	112.9599589
380	112.9257602
381	112.8920801
382	112.8667549
383	112.8123501
384	112.7817022
385	112.7641767
386	112.7245091
387	112.6980682
388	112.644499
389	112.5378427
390	112.5161859
391	112.4656007
392	112.4462106
393	112.3984846
394	112.3442376
395	112.2872445
396	112.2414333
397	112.2005705
398	112.160521
399	112.135421
400	112.0859094
401	112.0469501
402	111.9898933
403	111.9410785
404	111.9144105
405	111.8872705
406	111.8332267
407	111.7929534
408	111.7277592
409	111.7045932
410	111.682322
411	111.6501142
412	111.6182871
413	111.5865121
414	111.5547449
415	111.4701577
416	111.425153
417	111.3865839
418	111.3564512
419	111.3351144
420	111.2761666
421	111.2316364
422	111.1876529
423	111.1327867
424	111.029381
425	110.9868948
426	110.9624122
427	110.9204473
428	110.8642237
429	110.8245638
430	110.7816468
431	110.7158165
432	110.6999722
433	110.6185197
434	110.5688442
435	110.5440303
436	110.4697886
437	110.4499474
438	110.3699511
439	110.3053084
440	110.2253072
441	110.1941215
442	110.1236683
443	110.0823363
444	110.0095126
445	109.9820948
446	109.9541792
447	109.9167849
448	109.8997753
449	109.8564637
450	109.8183652
451	109.7600969
452	109.7187135
453	109.6951296
454	109.6797086
455	109.6419767
456	109.6026226
457	109.5694784
458	109.5443137
459	109.4686821
460	109.4105413
461	109.3905635
462	109.3735081
463	109.3248251
464	109.2232669
465	109.1634768
466	109.1240321
467	109.0715144
468	109.0004609
469	108.9551142
470	108.9174449
471	108.8687626
472	108.8287769
473	108.7879287
474	108.763736
475	108.7355993
476	108.6431388
477	108.6107762
478	108.5686008
479	108.4984428
480	108.4258441
481	108.3312257
482	108.2869788
483	108.2214006
484	108.1353516
485	108.0977083
486	108.0717346
487	107.9924397
488	107.9619569
489	107.9123642
490	107.8548236
491	107.830456
492	107.6832616
493	107.6510993
494	107.605869
495	107.5697859
496	107.5215032
497	107.4882132
498	107.4494373
499	107.4167942
500	107.4056878
501	107.3915914
502	107.3610927
503	107.3177113
504	107.3005391
505	107.2632041
506	107.2328586
507	107.2096002
508	107.1326065
509	107.1080366
510	107.0775204
511	107.0290139
512	106.983509
513	106.9523516
514	106.882455
515	106.8671255
516	106.8186748
517	106.7611992
518	106.7396291
519	106.7245148
520	106.6754558
521	106.6616033
522	106.6505896
523	106.578906
524	106.5458389
525	106.5139494
526	106.475793
527	106.4618375
528	106.4326156
529	106.4086065
530	106.3721193
531	106.3231248
532	106.2567872
533	106.24669
534	106.2064796
535	106.1722347
536	106.1234962
537	106.0920649
538	106.0521689
539	106.0018007
540	105.9214086
541	105.8831591
542	105.8482888
543	105.8349274
544	105.8132753
545	105.7440239
546	105.7085573
547	105.6752613
548	105.653376
549	105.5960376
550	105.5584923
551	105.5293975
552	105.5001835
553	105.3848955
554	105.3655265
555	105.3036108
556	105.2774993
557	105.2567736
558	105.2172089
559	105.2006331
560	105.1146428
561	105.0800777
562	105.0650328
563	105.0376206
564	105.0227667
565	104.9808495
566	104.9636663
567	104.9365395
568	104.9068714
569	104.858485
570	104.8422418
571	104.8277982
572	104.792078
573	104.757865
574	104.7370508
575	104.7004653
576	104.6721638
577	104.6403661
578	104.5994091
579	104.5804574
580	104.5304615
581	104.5177577
582	104.5081712
583	104.4798192
584	104.4568714
585	104.4258129
586	104.3772645
587	104.3618095
588	104.2943231
589	104.2639227
590	104.2383808
591	104.2233047
592	104.2064519
593	104.192625
594	104.1786549
595	104.1546262
596	104.1473844
597	104.1137554
598	104.0810138
599	104.0046722
600	103.9756625
601	103.9386489
602	103.9211089
603	103.8936408
604	103.8726852
605	103.8438152
606	103.7913409
607	103.779234
608	103.759481
609	103.714727
610	103.6878688
611	103.6683817
612	103.6420771
613	103.6102726
614	103.5862614
615	103.5489762
616	103.5027038
617	103.4540727
618	103.4307246
619	103.3805767
620	103.362011
621	103.3381627
622	103.3076417
623	103.2069809
624	103.1647255
625	103.1360487
626	103.0740127
627	103.0494208
628	103.0018462
629	102.9727489
630	102.9534785
631	102.9328179
632	102.9101836
633	102.8758718
634	102.8605412
635	102.8051593
636	102.7903041
637	102.7664974
638	102.7212009
639	102.6731567
640	102.6501072
641	102.6352976
642	102.5876736
643	102.5628475
644	102.5209693
645	102.4941278
646	102.4648986
647	102.4052858
648	102.3474937
649	102.33447
650	102.296891
651	102.270444
652	102.2583739
653	102.242091
654	102.2182098
655	102.1783261
656	102.1449984
657	102.1300156
658	102.0539048
659	102.0443243
660	102.0131506
661	101.9928751
662	101.9231459
663	101.8871913
664	101.856955
665	101.8407334
666	101.8150864
667	101.7901081
668	101.7634835
669	101.7165313
670	101.6900446
671	101.6445226
672	101.6325381
673	101.5938731
674	101.5618672
675	101.5338786
676	101.5240842
677	101.4775743
678	101.4433143
679	101.4273261
680	101.3976399
681	101.3812466
682	101.364413
683	101.345229
684	101.2986243
685	101.277727
686	101.2416084
687	101.2103375
688	101.1882871
689	101.1645313
690	101.1234678
691	101.092778
692	101.0720778
693	101.0440122
694	101.0159686
695	100.9934858
696	100.9482611
697	100.9267202
698	100.8468764
699	100.8298178
700	100.8158282
701	100.7973181
702	100.7738979
703	100.7655207
704	100.7130351
705	100.6995797
706	100.6659643
707	100.6420766
708	100.6200318
709	100.548622
710	100.5140855
711	100.4747881
712	100.4321858
713	100.382212
714	100.3461317
715	100.3289648
716	100.3135505
717	100.2740049
718	100.2451849
719	100.210442
720	100.1865921
721	100.0946954
722	100.0612938
723	100.0087366
724	99.96337728
725	99.9387019
726	99.92050825
727	99.89779042
728	99.87867062
729	99.85888651
730	99.82953118
731	99.79702017
732	99.77502503
733	99.7533997
734	99.71741634
735	99.66820724
736	99.63929538
737	99.59716874
738	99.56987817
739	99.5457134
740	99.50692901
741	99.47240131
742	99.43041849
743	99.4209428
744	99.3900346
745	99.33674574
746	99.3022661
747	99.27637457
748	99.21237699
749	99.17532599
750	99.12587907
751	99.11098692
752	99.10001804
753	99.09318895
754	99.03070609
755	98.96026063
756	98.95090303
757	98.93597984
758	98.87185886
759	98.83731313
760	98.82194954
761	98.80286646
762	98.74882276
763	98.73454978
764	98.71200909
765	98.68895604
766	98.65657535
767	98.63116258
768	98.56312196
769	98.52231502
770	98.4849272
771	98.45015501
772	98.43517181
773	98.40562915
774	98.37246706
775	98.31990146
776	98.29626579
777	98.27087735
778	98.2585075
779	98.2345221
780	98.19572184
781	98.15119726
782	98.14697959
783	98.12926575
784	98.11782567
785	98.09724399
786	98.04143025
787	98.02093955
788	98.00502723
789	97.9803805
790	97.95255949
791	97.91080183
792	97.88476338
793	97.84418346
794	97.83318095
795	97.79619618
796	97.77455118
797	97.75223195
798	97.72900517
799	97.70854124
800	97.69732438
801	97.67364669
802	97.63865823
803	97.60655691
804	97.59589404
805	97.54977493
806	97.52551065
807	97.47557292
808	97.46000566
809	97.44019084
810	97.4048407
811	97.38663992
812	97.36344852
813	97.34847962
814	97.31846239
815	97.25595936
816	97.22964518
817	97.20615341
818	97.19517783
819	97.15002576
820	97.12815159
821	97.11882087
822	97.10868648
823	97.08228632
824	97.06587932
825	97.02565364
826	97.00478219
827	96.98981558
828	96.95890299
829	96.95063222
830	96.90935192
831	96.86787824
832	96.82723749
833	96.80267945
834	96.77873541
835	96.72790743
836	96.69460724
837	96.65760219
838	96.60855818
839	96.55970394
840	96.53710421
841	96.52423673
842	96.49058199
843	96.46019971
844	96.41432182
845	96.40134611
846	96.38853543
847	96.34802759
848	96.33468877
849	96.32348165
850	96.29969852
851	96.28708349
852	96.26838919
853	96.22331235
854	96.20659893
855	96.16663766
856	96.15433346
857	96.11376083
858	96.09522075
859	96.07478376
860	96.04385256
861	96.00720269
862	95.96853271
863	95.94984761
864	95.93354194
865	95.91087748
866	95.88783371
867	95.85977185
868	95.85190233
869	95.8195482
870	95.78341014
871	95.74459682
872	95.74050247
873	95.72073014
874	95.68512839
875	95.67335302
876	95.6423794
877	95.62710843
878	95.61586401
879	95.60321804
880	95.58654118
881	95.57744181
882	95.55503259
883	95.54531966
884	95.53076719
885	95.51474455
886	95.49104043
887	95.4739179
888	95.45824475
889	95.43864361
890	95.42035947
891	95.41019575
892	95.36949686
893	95.35905506
894	95.33060217
895	95.29065512
896	95.27212664
897	95.2495935
898	95.22722543
899	95.18921359
900	95.17880249
901	95.14114812
902	95.11831934
903	95.10600619
904	95.06925556
905	95.04530181
906	95.03165581
907	95.00902736
908	94.98580201
909	94.96322632
910	94.9451698
911	94.93815394
912	94.91442691
913	94.88689511
914	94.87192612
915	94.84208118
916	94.77987627
917	94.69900835
918	94.68545418
919	94.66910316
920	94.63284068
921	94.62484652
922	94.58947399
923	94.57477538
924	94.53877297
925	94.52279925
926	94.49802968
927	94.46860505
928	94.38996144
929	94.37154013
930	94.35182437
931	94.3381775
932	94.31269401
933	94.288356
934	94.27041411
935	94.23816914
936	94.19116401
937	94.1790271
938	94.17137301
939	94.15276723
940	94.13736171
941	94.11635165
942	94.09437271
943	94.07977658
944	94.05449907
945	94.03885202
946	94.02689476
947	93.99367191
948	93.93240299
949	93.92246692
950	93.90801573
951	93.89598329
952	93.87470111
953	93.8567203
954	93.83739725
955	93.81407816
956	93.79139654
957	93.75624593
958	93.73642132
959	93.7169944
960	93.64864831
961	93.63195469
962	93.616428
963	93.57915549
964	93.56507161
965	93.55458
966	93.53752648
967	93.51835296
968	93.49075112
969	93.46237392
970	93.4497263
971	93.41452707
972	93.3923542
973	93.37777156
974	93.36111452
975	93.35243679
976	93.33075806
977	93.29044513
978	93.27513846
979	93.26670392
980	93.25434511
981	93.2343206
982	93.22006672
983	93.19198824
984	93.17726246
985	93.17037824
986	93.14854345
987	93.14332828
988	93.12256144
989	93.10999692
990	93.09716557
991	93.07447747
992	93.05903369
993	93.04579086
994	93.02700676
995	92.99429484
996	92.9906026
997	92.97051864
998	92.94889834
999	92.91433625
