,total_price,avg_product_price,total_freight_cost,num_items_ordered,total_payment_value,payment_installments,avg_review_score,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,customer_lat,customer_lng,seller_lat,seller_lng,total_order_value,order_purchase_year,order_purchase_month,order_purchase_week,order_purchase_day,order_purchase_quarter,order_purchase_weekday,order_purchase_hour,product_volume_cm3,product_density_g_cm3,total_weight_g,total_volume_cm3,spatial_dist,delivery_time,delivery_delay,customer_lifetime_value,number_of_orders,revenue_per_customer,revenue_per_seller,product_popularity,monthly_revenue,weekly_revenue
total_price,1.0,0.9331693361267265,0.41278641970407953,0.1530631197829492,0.9959698523979786,0.31427296519875225,-0.03858912540098258,0.011756716399415341,0.187174404574674,0.03555547435519458,0.3315064187716832,0.14622674291435786,0.2283012021480622,0.16778839440443197,0.050641834315021714,0.01380628486601184,0.018017044198423256,0.040477245754799586,0.995991493252692,-0.0027160489451803,0.001992858528663579,0.0012441465149308922,-0.007883552563747363,0.002702851888251577,-0.002625022164751422,0.004538310996443659,0.2951174698961271,0.04199538897982208,0.3467140624004203,0.3101833806241469,0.07840928979921259,0.05368041463762305,-0.013656930263783172,0.9479269471308566,-0.015252963063279465,0.9905234973163569,0.09155488638328355,-0.06015744961280127,-0.004109238567761768,0.0002292632941382828
avg_product_price,0.9331693361267265,1.0,0.30152887871898015,-0.058460295073217365,0.9211956771985,0.3170694594432098,-0.011431448110962463,0.014263509497770206,0.19991639644139703,0.04986363573158138,0.34210431123497637,0.1465463550043661,0.23322853091812887,0.17260018775027494,0.054055685292255524,0.016153380993878218,0.019192160561609075,0.0454369650155042,0.9212118202772622,-0.0028778506608249797,0.00100653918965397,1.4856541677513272e-05,-0.010007726639131385,0.0013316269786263469,-0.00024448039720062085,0.0077869766584734434,0.30409142821283786,0.034417325490229515,0.27415781474860157,0.23318901932405078,0.08283850015751787,0.0584493218181145,-0.007098492174839645,0.87310101109667,-0.02244897354708471,0.9168406764933524,0.09395489586896952,-0.06332102239263064,-0.006663303620987224,-0.0017739791231097556
total_freight_cost,0.41278641970407953,0.30152887871898015,1.0,0.4369409500727269,0.49268051449706385,0.19946136199980394,-0.08740945876575335,0.012044104684503558,0.06745187871705377,-0.0045022038090753004,0.5010087553911314,0.2609676828653623,0.33558971599306175,0.26517416565465124,0.21708803357884401,0.06982441536630135,0.03006228570962508,-0.010461763476136237,0.4926034954334271,0.027864929378295357,0.0038000658022465245,0.0030640255577162132,-0.008286198119946008,0.004210785469197097,-0.002399587881312658,7.434081377798823e-05,0.4869955782574148,0.03922055275173068,0.6322633931987248,0.6327721887877713,0.31334336516367106,0.16403787406132542,-0.04887204319473213,0.4746299098601669,-0.00013245163758026472,0.4879763485612652,0.01846740000658513,-0.032004225835424144,0.023436272229231926,0.021484628171335497
num_items_ordered,0.1530631197829492,-0.058460295073217365,0.4369409500727269,1.0,0.18920232458122324,0.06754392664102211,-0.11282340565919513,-0.012902596050410952,-0.01949867234867902,-0.04740454613164372,-0.005897336628447442,0.008467540576708055,0.017861898870256625,-0.004374232974155556,-0.017227145189720572,-0.015087398159031333,-0.00392763634399964,-0.01216252814082382,0.18915458937976506,0.00021086479557791966,0.0004572966266776305,0.0017267265584987525,0.011453200959796293,0.0018888300720214138,-0.011766198484811464,-0.00977025576204848,0.002105721369655662,-0.00045589808087726207,0.22423983453799368,0.2783880221764512,-0.017037874912049503,-0.018683315765533056,-0.0316506678740993,0.19588099273143342,0.03131035621898171,0.1842237705758346,-0.00026214167771415224,-0.002497973133291011,0.0072825687696615815,0.009195132354700545
total_payment_value,0.9959698523979786,0.9211956771985,0.49268051449706385,0.18920232458122324,1.0,0.32018312418714534,-0.04547486219691646,0.01242442100803486,0.18541933158594004,0.033512001525974326,0.36600250554349717,0.1654016574218453,0.2510761053106355,0.18639179419456356,0.06972436201828308,0.020019595601326694,0.020185820673002192,0.03765087958771926,0.9999868868347812,0.00011945547836995378,0.0022219088298161727,0.00143553099892703,-0.00833430360132892,0.0029474405659774953,-0.0027357541609980946,0.004346057461740895,0.3298427657990505,0.04397042978699225,0.39340465756301607,0.35853496917083083,0.10573194324272454,0.06742621948075532,-0.017890082279870698,0.952308949583674,-0.014548915292426195,0.994304096304912,0.08927663691472768,-0.06063472031558654,-0.0016626363456191332,0.002289979643791349
payment_installments,0.31427296519875225,0.3170694594432098,0.19946136199980394,0.06754392664102211,0.32018312418714534,1.0,-0.03162775268683253,0.020174913936155885,0.04440249599155051,0.006888624152251229,0.19724706803825245,0.12527282230481393,0.13728863488240978,0.14913606571971555,0.06355698465544982,0.039889086260537,0.011693875522631066,-0.006627673905381588,0.3198614146516214,-0.05888592609554648,0.030845988098041052,0.03001679138038284,0.002066764415035316,0.027876837138781065,0.02620671955260591,0.013621994776145643,0.17845980768431421,0.025995935225376694,0.18788718653802725,0.17041853384011693,0.08966328198620811,0.0513652389391998,-0.03090519298493068,0.31337952259485646,0.027258219136209662,0.31696245950875795,0.10658219246683302,-0.01760240498767652,-0.04449973794951955,-0.021916230394818492
avg_review_score,-0.03858912540098258,-0.011431448110962463,-0.08740945876575335,-0.11282340565919513,-0.04547486219691646,-0.03162775268683253,1.0,-0.009733799197475232,0.011686669092681849,0.015058314798153644,-0.029888945145651397,-0.01878299222227693,-0.022560440552827146,-0.012362603330361493,-0.0432007663596854,-0.05120068004279083,-0.011292136929173628,0.009550474137601125,-0.04545418465683853,-0.003108560520463609,0.031587455532844366,0.03154316151095356,0.000820661683397731,0.03844417784420105,-0.009420763771869118,0.003934026018930221,-0.028655629845145313,-0.0004528313210509083,-0.054050923910132706,-0.058295052371745704,-0.05768504245681461,-0.3026646714514407,-0.24642215380242088,-0.0407573507886805,0.017863269845046662,-0.04566508553947358,-0.016126272473760767,0.0019737543238981855,-0.02462618208225383,-0.043366668426690985
product_name_lenght,0.011756716399415341,0.014263509497770206,0.012044104684503558,-0.012902596050410952,0.01242442100803486,0.020174913936155885,-0.009733799197475232,1.0,0.09342520846401116,0.14568376104495623,0.029080235762485827,0.05665480997973229,-0.017620812909390864,0.06059680305297646,0.013157851108458506,-0.0017101532408341673,0.0002251792643647124,-0.057336968155071305,0.012415791915717844,0.022200986098415483,0.010630638630960731,0.011654266489467387,0.009548086958842784,0.01190986601486392,-0.003908446812908207,8.850415976340481e-05,0.025285552760942267,0.006969459640411372,0.016289618378766756,0.013768254935174784,0.01871480332458627,-0.0017006688076972737,0.012368414308128768,0.011982841244638377,-0.0019155478666173632,0.01190349478844889,0.10293398641151082,0.04706275295873097,0.03023312314457279,0.02151406962251554
product_description_lenght,0.187174404574674,0.19991639644139703,0.06745187871705377,-0.01949867234867902,0.18541933158594004,0.04440249599155051,0.011686669092681849,0.09342520846401116,1.0,0.12271084329753001,0.05809886660741944,0.0006590796569040094,0.07370062998827381,-0.06057655311698888,0.032318001009976845,0.00604909861670644,0.019358510562247164,0.08095501077381119,0.1854606067400925,0.03810115163361128,-0.013743651607456463,-0.013783029399193196,-0.004190972644293787,-0.013779518747767621,-0.0066860745000418675,-0.004952296462985038,0.019537918080938983,0.02096867692692911,0.048638634837172685,0.011699303895256339,0.043719874658593734,0.003178300840640122,0.0019967037387216375,0.1738558306499646,-0.019650722788752385,0.1845841829746497,-0.07282737023672145,-0.023110559975588172,0.01845515283456582,0.012863559131275806
product_photos_qty,0.03555547435519458,0.04986363573158138,-0.0045022038090753004,-0.04740454613164372,0.033512001525974326,0.006888624152251229,0.015058314798153644,0.14568376104495623,0.12271084329753001,1.0,0.029507692920711856,0.05031482483686232,-0.024216015242124675,0.014118210582496694,0.020592113764087344,0.0012410853579738778,-0.08394910728301441,0.036090722844804246,0.033529471003452826,-0.0030556763874760016,0.012585766897853816,0.012757806615185977,0.0028925582210513586,0.01550769453414469,0.0007997448969581899,0.0025149481520157367,0.01834030399759634,0.012270910545904143,0.009351329634220201,-0.0013640322959758107,0.010747316314841066,-0.026847033892914037,0.0030415646089119496,0.027665807521671366,-0.016538879758469297,0.033157345382694846,-0.041641579616950315,0.011058735289514869,0.002774385243191336,0.0015912446635619238
